smiles,Eat,Eea,Egb,Egc,Ei,Xc,eps,nc
[*]C(=O)C(=S)C(=O)O[*],-6.47,5.1004,1.4341,2.3358,7.4364,,,
[*]C(=O)C(=S)OC(=S)[*],-5.98,,1.4146,2.6385,,,6.46,2.3004
[*]C(=O)C(C=C1)=CC=C1C(=O)C(=S)[*],-6.42,3.783,1.6753,2.994,6.7765,,5.0,2.0994
[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],-6.51,2.1866,2.9556,4.2825,6.4709,,4.54,1.9846
[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],-6.45,3.6543,2.4807,3.618,7.268,,4.76,2.003
[*]C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2[*],-6.38,2.9183,,2.9419,5.8604,,4.98,2.1209
[*]C(=O)C(C=C1)=CC=C1C(=S)C(S2)=CC=C2[*],-6.31,3.9759,,2.3711,6.3469,,5.13,2.1236
[*]C(=O)C(C=C1)=CC=C1C(=S)O[*],-6.35,3.4955,2.5144,3.2688,6.7625,,5.24,2.0397
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)[*],-6.37,3.6994,2.0643,2.4596,6.1599,,5.49,2.2139
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3[*],-6.42,2.6442,2.5479,3.3319,5.9803,,4.43,2.0217
[*]C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3[*],-6.38,3.0595,,2.8474,5.9085,,6.15,2.3607
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],-6.3,3.8058,,2.3592,6.162,,5.75,2.244
[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3[*],-6.38,2.8757,1.7624,2.9694,5.8483,,5.86,2.2925
